"Opeth","Heir Apparent"
"Black Breath","Pleasure, Pain, Disease"
"Black Breath","Pleasure, Pain, Disease"
"Moonspell","Night Eternal"
"Moonspell","Night Eternal"
"Monuments","Atlas"
"Monuments","Atlas"
"Billy Thorpe","Children Of The Sun"
"Billy Thorpe","Children Of The Sun"
"Closure in Moscow","Vanguard"
"Closure in Moscow","Vanguard"
"Jeff Loomis","Tragedy and Harmony"
"Jeff Loomis","Tragedy and Harmony"
"Nevermore","She Comes in Colors"
"Nevermore","She Comes in Colors"
"Wide Eyes","Sea of Serenity"
"Wide Eyes","Sea of Serenity"
"Jessica Curry","Dear Esther"
"Jessica Curry","Dear Esther"
"Sargeist","Black Fucking Murder"
"Sargeist","Black Fucking Murder"
"Rxyzyxr","Denial of Death"
"Rxyzyxr","Denial of Death"
"Riot","Thundersteel"
"Riot","Thundersteel"
"The Dear Hunter","Mustard Gas"
"The Dear Hunter","Mustard Gas"
"Tantra","Mistérios e Maravilhas"
"Tantra","Mistérios e Maravilhas"
"Ozric Tentacles","Ayurvedism"
"Ozric Tentacles","Ayurvedism"
"Embrace the Darkness","Victim of Myself"
"Embrace the Darkness","Victim of Myself"
"Plini","Selenium Forest"
"Plini","Selenium Forest"
"Fit For A King","Slave to Nothing"
"Fit For A King","Slave to Nothing"
"The Dear Hunter","He Said He Had A Story"
"The Dear Hunter","He Said He Had A Story"
"VOLA","Black Box"
"VOLA","Black Box"
"The Dear Hunter","He Said He Had A Story"
"Amorphis","To Father's Cabin"
"Amorphis","To Father's Cabin"
"Devin Townsend","By Your Command"
"Devin Townsend","By Your Command"
"Redemption","The Fullness of Time: I. Rage"
"Redemption","The Fullness of Time: I. Rage"
"Amorphis","To Father's Cabin"
"Amorphis","To Father's Cabin"
"Oh, Sleeper","Children Of Fire"
"Oh, Sleeper","Children Of Fire"
"Aura Noir","Conqueror"
"Aura Noir","Conqueror"
"Everyn","Mythos"
"Everyn","Mythos"
"Intervals","Meridian"
"Intervals","Meridian"
"Vastum","Enigma of Disgust"
"Vastum","Enigma of Disgust"
"Knor","It's Happening"
"Knor","It's Happening"
"Bullet For My Valentine","Raising Hell"
"Bullet For My Valentine","Raising Hell"
"In Hearts Wake","Cottonmouth"
"In Hearts Wake","Cottonmouth"
"Balmorhea","Shore"
"Balmorhea","Shore"
"Accept","Balls to the Wall"
"Accept","Balls to the Wall"
"Cynic","The Space For This"
"Cynic","The Space For This"
"Kotebel","Adagio Maestoso (Live)"
"Kotebel","Adagio Maestoso (Live)"
"Cynic","The Space For This"
"Sky Sanctuary","Desert Valley (Zone 4)"
"Sky Sanctuary","Desert Valley (Zone 4)"
"Omnium Gatherum","Skyline"
"Omnium Gatherum","Skyline"
"Architects","These Colours Don't Run"
"Architects","These Colours Don't Run"
"Necrophagist","Fermented Offal Discharge"
"Necrophagist","Fermented Offal Discharge"
"Giants","Sleeping False Idol"
"Giants","Sleeping False Idol"
